"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
2023-06-01,yandex,cpc,freemium,145,3139830,103,21,1215613
2023-06-01,yandex,cpc,prof-frontend,97,5542386,56,11,1092509
2023-06-01,vk,cpc,prof-python,101,204828,61,8,638401
2023-06-01,yandex,cpc,prof-python,87,2873262,47,8,609811
2023-06-01,vk,cpc,freemium-frontend,134,423440,76,9,552181
2023-06-01,yandex,cpc,base-python,39,488436,21,6,389941
2023-06-01,vk,cpc,freemium-python,73,71540,46,4,362712
2023-06-01,vk,cpc,prof-data-analytics,77,82544,48,5,253444
2023-06-01,yandex,cpc,dod-frontend,10,28710,8,3,203035
2023-06-01,yandex,cpc,base-frontend,54,975294,30,1,201150
2023-06-01,yandex,cpc,prof-java,64,1887360,33,2,200340
2023-06-01,vk,cpc,prof-java,89,277235,42,1,151192
2023-06-01,yandex,cpc,prof-data-analytics,17,171462,10,1,144244
2023-06-01,yandex,cpc,dod-professions,7,,6,2,109197
2023-06-01,yandex,cpc,prof-professions-brand,25,120450,14,1,71232
